"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004904;1;11;"Apartamento";"APARTAMENTO CONTENDO SALA ESTILO AMERICANO, COZINHA, BANHEIRO, QUARTOS ,1 SUITE, GARAGEM PARA 2
QUARTOS. APARTAMENTO TOTALMENTE QUITADO.";"478091,20";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004904;2;12;"Casa";"CASA RESIDENCIAL EM ALVENARIA DE 02 PAVIMENTOS, CONTENDO GARAGEM,PATIO, SALA DE ESTAR, SALA DE JANTAR, COZINHA, AREA DE SERVICOS, AREA GORMET, PISCINA, LAVABO EXTERNO,1 QUARTO, BANHEIRO, DEPOSITO";"752526,24";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004938;1;12;"Casa";"casa residencial";"80000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004939;1;12;"Casa";"casa com terreno medindo aproximadamente 40 hectares";"200000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004940;1;12;"Casa";"casa em construção ";"40000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004942;1;12;"Casa";"casa em alvenaria";"75000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004942;2;12;"Casa";"casa em alvenaria";"50000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004945;1;12;"Casa";"casa em alvenaria";"360000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005007;1;11;"Apartamento";"APARTAMENTO NA TRAVESSA CURUZU, BELÉM-PA.";"34377,72";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004905;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FOX";"60000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004906;1;11;"Apartamento";"IMÓVEL";"84000,00";"18/09/2024";"14:41:39"
